CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
JLP072,J,Special Japanese Kanji 2,日本語特別教育 漢字2,4/M,I-210,Face to Face,"MIYAMOTO, Mayu",1,
JLP073,J,Special Japanese Kanji 3,日本語特別教育 漢字3,4/M,"I-231,I-232",Face to Face,"SAKATA, Reiko/NISHINO, Ai",1,
JLP081,J,Special Japanese 1,日本語特別教育 1,"1/W,2/W,3/W,1/F,2/F,3/F","H-356,H-357",Face to Face,"KANAYAMA, Yasuko/OSAKI-WATANABE, Kumiko",4,
JLP082,J,Special Japanese 2,日本語特別教育 2,"1/W,2/W,3/W,1/F,2/F,3/F",I-210,Face to Face,"OZAWA, Ikumi/MIYAMOTO, Mayu/ITO, Mariko",3,
JLP083,J,Special Japanese 3,日本語特別教育 3,"1/W,2/W,3/W,1/F,2/F,3/F",H-103,Face to Face,"TAKEDA, Tomoko/KOMORI, Yuri/KUWANO, Sachiko",3,
JLP086,J,Vocabulary and Kanji for Intermediate Learners of Japanese 1,中級日本語学習者のための語彙・漢字1,4/M,H-373,Face to Face,"NOGUCHI, Fusae",1,
JLP087,J,Vocabulary and Kanji for Intermediate Learners of Japanese 2,中級日本語学習者のための語彙・漢字2,4/M,H-352,Face to Face,"KAWAUCHI, Miwa",1,
JLP088,J,Special Japanese: Research Writing,日本語特別教育：論文作成法,"4/M,5/M",H-375,Face to Face,"SAKURAGI, Tomomi",2,
GEX001,J,X: Introduction to Christianity,Ｘ：キリスト教概論,"5/TH,6/TH,7/TH",T-171,Face to Face,"UEKI, Ken",3,
GEX001,J,X: Introduction to Christianity,Ｘ：キリスト教概論,"3/M,3/W,3/F",H-323,Face to Face,"YAKIYAMA, Mariko",3,
GEX001,E,X: Introduction to Christianity,Ｘ：キリスト教概論,"*4/W,*4/F",H-353,Face to Face,"MCGLOTHLIN, Thomas Dwight",3,
GEH012,E,H1: Music and Society,Ｈ１：音楽と社会,"3/TU,2/TH,3/TH",H-125,Face to Face,"GILLAN, Matthew A.",3,
GEH024,E,H1: The World of Literature (English Literature),Ｈ１：文学の世界（英文学）,"*4/W,*4/F",H-305,Face to Face,"SIMONS, Christopher E. J.",3,
GEH033,E,H1: The World of Eastern Thought,Ｈ１：東洋思想の世界,"3/TU,2/TH,3/TH",T-171,Face to Face,"ESKILDSEN, Stephen Edward",3,
GEH051,J,H2: Behavioral Sciences and Humanistic Sciences (A),Ｈ２：行動の科学・人間性の科学（Ａ）,"*4/W,*4/F",T-171,Face to Face,"NAOI, Nozomi/CHAN, Christian/MIYAKAWA, Erika/NISHIMURA, Kaoru/SUDO, Mioko",3,
GES001,J,S1: Economy and Economics,Ｓ１：経済と経済学,"3/TU,2/TH,3/TH",H-224,Face to Face,"KAIZOJI, Taisei/INABA, Yushi",3,
GES009,J,S1: Debates in International Relations,Ｓ１：国際関係ディベート,"3/TU,2/TH,3/TH",H-375,Face to Face,"MORI, Katsuhiko/YOSHIKAWA, Motohide",3,
GES012,E,S1: Political Science (B),Ｓ１：政治学（Ｂ）,"*4/W,*4/F",H-259,Face to Face,"SUH, Jae-Jung",3,
GES014,E,S1: U.S. Presidential Elections and American Society,Ｓ１：米国大統領選挙とアメリカ社会,"3/TU,2/TH,3/TH",H-101,Face to Face,"ISHIO, Yoshito",3,
GES021,J,S1: Invitation to Constitutional Law,Ｓ１：憲法への誘い,"5/F,6/F,7/F",H-374,Face to Face,"AKIYAMA, Hajime",3,
GES028,J,S1: Social Media and Education,Ｓ１：ソーシャルメディアと教育,"3/M,3/W,3/F",I-106,Face to Face,"AOKI, Hiroyuki",3,
GES030,J,S1: Corporate Social Responsibility,Ｓ１：企業の社会的責任,"*4/W,*4/F",H-151,Face to Face,"YAMANE, Satoka",3,
GES032,J,S1: History,Ｓ１：歴史学,"3/TU,2/TH,3/TH",H-151,Face to Face,"TSUBAKIDA, Yukiko/OLAH, Csaba",3,
GES051,J,S2: Media and Cultural Signs,Ｓ２：メディアと記号,"3/TU,2/TH,3/TH",T-229,Face to Face,"AONUMA, Satoru",3,
GES052,E,S2: The World of Cultural Translation,Ｓ２：文化翻訳の世界,"*4/W,*4/F",H-323,Face to Face,"GARZA, James Michael",3,
GES053,E,"S2: Learning, Unlearning, and Knowing Others in the Information Age",Ｓ２： 情報化時代におけるラーニング・アンラーニングと他者理解,"3/TU,2/TH,3/TH",H-105,Face to Face,"HOWARD, Craig Dennis",3,
GES057,E,S2: Education Projects for Global and Social Change,Ｓ２：グローバル・社会変革のための教育プロジェクト,"*4/M,*4/TH",H-357,Face to Face,"DAWSON, Walter P.",3,
GES096,J,S2: Physical and Mental Wellbeing,Ｓ２：こころとからだの健康,"3/M,3/W,3/F",T-328,Face to Face,"SHIMIZU, Yasuo",3,
GEN001,J,N1: Life Science (A),Ｎ１：生命科学（Ａ）,"2/M,2/W,2/F",T-229,Face to Face,"WANG, Mu-Yun/AU YEUNG, Wan Kin/GOURAUD, Sabine Sandra Stephanie/KOSE, Hiroyuki",3,
GEN011,J,N1:World of Physics (A) - Scientific Thinking,Ｎ１：物理の世界（Ａ）- 科学的な考え方,"3/M,3/W,3/F",T-229,Face to Face,"HIRASHIMA, Dai/YAMAZAKI, Rekishu",3,
GEN013,J,N1: The Chemical Basis of Nature,Ｎ１：自然の化学的基礎,"3/TU,2/TH,3/TH",T-270,Face to Face,"KOBAYASHI, Junji/KUBO, Kenya/CHUN, Wang Jae",3,
GEN028,J,N2: Statistical Analysis in Society,Ｎ２： 社会における統計分析,"3/TU,2/TH,3/TH",T-328,Face to Face,"SHIMIZU, Yuji/OMORI, Sawa/MORIKI, Yoshie",3,
HPE001,J,Health Science,健康科学,5/M,"PEC1,PEC2",Face to Face,"SATO, Kaori",1,
HPE001,E,Health Science,健康科学,6/F,"PEC1,PEC2",Face to Face,"OGAWA, Tadayuki",1,
HPE001,J,Health Science,健康科学,5/W,"PEC1,PEC2",Face to Face,"TERADA, Kayo",1,
HPE001,J,Health Science,健康科学,4/M,"PEC1,PEC2",Face to Face,"SATO, Kaori",1,
HPE001,J,Health Science,健康科学,4/TH,"PEC1,PEC2",Face to Face,"TOYODA, Hayato",1,
HPE001,J,Health Science,健康科学,5/TH,"PEC1,PEC2",Face to Face,"TOYODA, Hayato",1,
HPE001,E,Health Science,健康科学,5/F,"PEC1,PEC2",Face to Face,"OGAWA, Tadayuki",1,
HPE003,J,Physical Education,体育理論,3/W,"PEC1,PEC2",Face to Face,"TERADA, Kayo",1,
HPE006,,Physical Education Exercise II,PE エクササイズⅡ,5/W,,Face to Face,"HASEGAWA, Ken",1/3,
HPE006,,Physical Education Exercise II,PE エクササイズⅡ,3/TU,,Face to Face,"HASEGAWA, Ken",1/3,
HPE006,,Physical Education Exercise II,PE エクササイズⅡ,3/TH,,Face to Face,"HIGASHIYAMA, Masao",1/3,
