"Reg.No.
Term
Year",Course No.,Language,Section,"Course title
Period/Day
Class room","Enrollment limit
Mode of instruction",Instructor,"Credits
Links
 -Syllabus
 -Description
 -TES/GS"
"30101
Winter
2025",ELA030,E,,"English for Liberal Arts Program (Stream 3): Academic Reading and Writing
リベラルアーツ英語プログラム(Stream 3)：読解と論文作法",Face to Face,STAFF,-9
"30102
Winter
2025",ELA031,E,,"English for Liberal Arts Program (Stream 3): Reading and Content Analysis
リベラルアーツ英語プログラム(Stream 3)：精読と英文構成法",Face to Face,STAFF,-6
"30103
Winter
2025",ELA032,E,,"English for Liberal Arts Program(Stream 3): Academic Skills
リベラルアーツ英語プログラム(Stream 3)：アカデミック・スキル",Face to Face,STAFF,-4
"30104
Winter
2025",ELA040,E,,"English for Liberal Arts Program(Stream 4): Academic Reading and Writing
リベラルアーツ英語プログラム(Stream 4)：読解と論文作法",Face to Face,STAFF,-9
"30105
Winter
2025",ELA041,E,,"English for Liberal Arts Program(Stream 4): Reading and Content Analysis
リベラルアーツ英語プログラム(Stream 4)：精読と英文構成法",Face to Face,STAFF,-9
"30106
Winter
2025",ELA042,E,,"English for Liberal Arts Program(Stream 4): Academic Skills
リベラルアーツ英語プログラム(Stream 4)：アカデミック・スキル",Face to Face,STAFF,-4
"30107
Winter
2025",ELA060,E,A,"English for Liberal Arts Program: Research Writing
リベラルアーツ英語プログラム：論文作成
3/M,5/TU,3/W,3/F",Face to Face,STAFF,3
"30108
Winter
2025",ELA060,E,B,"English for Liberal Arts Program: Research Writing
リベラルアーツ英語プログラム：論文作成",Face to Face,STAFF,3
"30201
Winter
2025
[change]
2025/11/28",JLP012,J,,"J2: Japanese
日本語J2
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-101,H-124",Face to Face,"MIURA, Ayano/MIYAMOTO, Mayu",5
"30202
Winter
2025
[change]
2025/11/28",JLP013,J,,"J3: Japanese
日本語J3
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-107,H-108",Face to Face,"KUBO, Kazumi/KITAGAWA, Yui/MASUDA, Rika",5
"30203
Winter
2025
[change]
2025/11/28",JLP014,J,,"J4: Japanese
日本語J4
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-259,H-260",Face to Face,"SAKATA, Reiko/KANAYAMA, Yasuko/KISHIDA, Rie/SUZUKI, Mieko",5
"30204
Winter
2025
[change]
2025/11/28",JLP015,J,,"J5: Japanese
日本語J5
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-354,H-355",Face to Face,"NISHINO, Ai/TAKEDA, Tomoko/TERAI, Hiromi/YAMADA, Kyoko",5
"30205
Winter
2025
[change]
2025/11/28",JLP016,J,,"J6: Japanese
日本語J6
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-324,H-373,H-375",Face to Face,"SAKURAGI, Tomomi/OSAKI-WATANABE, Kumiko/UGAMOCHI, Ayako",5
"30206
Winter
2025
[change]
2025/11/28",JLP028,J,,"J7-A: Japanese
日本語J7-A
1/M,2/M,1/W,2/W
I-209,I-231,I-232",Face to Face,"NISHINO, Ai/ASHIKI, Ayako/INOUE, Shoko",3
"30207
Winter
2025
[change]
2025/11/28",JLP029,J,,"J7-B: Japanese
日本語J7-B
1/TU,2/TU
I-209,I-231,I-232",Face to Face,"OZAWA, Ikumi/KUWANO, Sachiko/MASUDA, Rika",2
"30208
Winter
2025",JLP034,J,,"Advanced Japanese: Listening and Discussion
上級日本語：聴解とディスカッション
4/M,5/M
H-274",Face to Face,"KUBO, Kazumi",1
"30209
Winter
2025",JLP035,J,,"Advanced Japanese: Reading and Discussion
上級日本語：読解とディスカッション
4/M,5/M
H-307",Face to Face,"INADA, Naoko",1
"30210
Winter
2025",JLP071,J,,"Special Japanese Kanji 1
日本語特別教育 漢字1
4/M
I-209",Face to Face,"MIURA, Ayano",1
"30211
Winter
2025",JLP072,J,,"Special Japanese Kanji 2
日本語特別教育 漢字2
4/M
I-210",Face to Face,"MIYAMOTO, Mayu",1
