CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
ELA010,E,English for Liberal Arts Program(Stream 1): Academic Reading and Writing,リベラルアーツ英語プログラム(Stream 1)：読解と論文作法,,,Face to Face,STAFF,3,
ELA020,E,English for Liberal Arts Program(Stream 2): Academic Reading and Writing,リベラルアーツ英語プログラム(Stream 2)：読解と論文作法,,,Face to Face,STAFF,-6,
ELA022,E,English for Liberal Arts Program(Stream 2): Academic Skills,リベラルアーツ英語プログラム(Stream 2)：アカデミック・スキル,,,Face to Face,STAFF,-1,
ELA030,E,English for Liberal Arts Program (Stream 3): Academic Reading and Writing,リベラルアーツ英語プログラム(Stream 3)：読解と論文作法,,,Face to Face,STAFF,-9,
ELA031,E,English for Liberal Arts Program (Stream 3): Reading and Content Analysis,リベラルアーツ英語プログラム(Stream 3)：精読と英文構成法,,,Face to Face,STAFF,-6,
ELA032,E,English for Liberal Arts Program(Stream 3): Academic Skills,リベラルアーツ英語プログラム(Stream 3)：アカデミック・スキル,,,Face to Face,STAFF,-4,
ELA040,E,English for Liberal Arts Program(Stream 4): Academic Reading and Writing,リベラルアーツ英語プログラム(Stream 4)：読解と論文作法,,,Face to Face,STAFF,-9,
ELA041,E,English for Liberal Arts Program(Stream 4): Reading and Content Analysis,リベラルアーツ英語プログラム(Stream 4)：精読と英文構成法,,,Face to Face,STAFF,-9,
ELA042,E,English for Liberal Arts Program(Stream 4): Academic Skills,リベラルアーツ英語プログラム(Stream 4)：アカデミック・スキル,,,Face to Face,STAFF,-4,
ELA060,E,English for Liberal Arts Program: Research Writing,リベラルアーツ英語プログラム：論文作成,"3/M,5/TU,3/W,3/F",,Face to Face,STAFF,3,
ELA060,E,English for Liberal Arts Program: Research Writing,リベラルアーツ英語プログラム：論文作成,,(For Sophomore SEA Program students),Face to Face,STAFF,3,
JLP011,J,J1: Japanese,日本語J1,"1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F",H-123,Face to Face,"MIYAMOTO, Mayu/ASHIKI, Ayako",5,
JLP012,J,J2: Japanese,日本語J2,"1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F","H-354,H-355",Face to Face,"MIURA, Ayano/KOH, Tomoko",5,
JLP013,J,J3: Japanese,日本語J3,"1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F","H-107,H-108",Face to Face,"KUBO, Kazumi/GOTO, Noriko/KITAGAWA, Yui/NOGUCHI, Fusae",5,
JLP014,J,J4: Japanese,日本語J4,"1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F","H-357,H-358",Face to Face,"SAKATA, Reiko/IMAI, Kanna/KITAGAWA, Yui/SUZUKI, Mieko",5,
JLP015,J,J5: Japanese,日本語J5,"1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F","H-373,H-375",Face to Face,"NISHINO, Ai/SAITO, Satomi/TERAI, Hiromi",5,
JLP016,J,J6: Japanese,日本語J6,"1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F","H-101,H-124",Face to Face,"SHIBUKAWA, Aki/MASUDA, Rika/OSAKI-WATANABE, Kumiko/YAMADA, Kyoko",5,
JLP028,J,J7-A: Japanese,日本語J7-A,"1/M,2/M,1/W,2/W","I-209,I-231,I-232",Face to Face,"OZAWA, Ikumi/ASHIKI, Ayako/INOUE, Shoko/OSAKI-WATANABE, Kumiko",3,
