"Reg.No.
Term
Year",Course No.,Language,Section,"Course title
Period/Day
Class room","Enrollment limit
Mode of instruction",Instructor,"Credits
Links
 -Syllabus
 -Description
 -TES/GS"
"10101
Spring
2026",ELA010,E,,"English for Liberal Arts Program(Stream 1): Academic Reading and Writing
リベラルアーツ英語プログラム(Stream 1)：読解と論文作法",Face to Face,STAFF,3
"10102
Spring
2026",ELA020,E,,"English for Liberal Arts Program(Stream 2): Academic Reading and Writing
リベラルアーツ英語プログラム(Stream 2)：読解と論文作法",Face to Face,STAFF,-6
"10103
Spring
2026",ELA022,E,,"English for Liberal Arts Program(Stream 2): Academic Skills
リベラルアーツ英語プログラム(Stream 2)：アカデミック・スキル",Face to Face,STAFF,-1
"10104
Spring
2026",ELA030,E,,"English for Liberal Arts Program (Stream 3): Academic Reading and Writing
リベラルアーツ英語プログラム(Stream 3)：読解と論文作法",Face to Face,STAFF,-9
"10105
Spring
2026",ELA031,E,,"English for Liberal Arts Program (Stream 3): Reading and Content Analysis
リベラルアーツ英語プログラム(Stream 3)：精読と英文構成法",Face to Face,STAFF,-6
"10106
Spring
2026",ELA032,E,,"English for Liberal Arts Program(Stream 3): Academic Skills
リベラルアーツ英語プログラム(Stream 3)：アカデミック・スキル",Face to Face,STAFF,-4
"10107
Spring
2026",ELA040,E,,"English for Liberal Arts Program(Stream 4): Academic Reading and Writing
リベラルアーツ英語プログラム(Stream 4)：読解と論文作法",Face to Face,STAFF,-9
"10108
Spring
2026",ELA041,E,,"English for Liberal Arts Program(Stream 4): Reading and Content Analysis
リベラルアーツ英語プログラム(Stream 4)：精読と英文構成法",Face to Face,STAFF,-9
"10109
Spring
2026",ELA042,E,,"English for Liberal Arts Program(Stream 4): Academic Skills
リベラルアーツ英語プログラム(Stream 4)：アカデミック・スキル",Face to Face,STAFF,-4
"10110
Spring
2026",ELA060,E,A,"English for Liberal Arts Program: Research Writing
リベラルアーツ英語プログラム：論文作成
3/M,5/TU,3/W,3/F",Face to Face,STAFF,3
"10111
Spring
2026",ELA060,E,B,"English for Liberal Arts Program: Research Writing
リベラルアーツ英語プログラム：論文作成


(For Sophomore SEA Program students)",Face to Face,STAFF,3
"10201
Spring
2026",JLP011,J,,"J1: Japanese
日本語J1
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-123",Face to Face,"MIYAMOTO, Mayu/ASHIKI, Ayako",5
"10202
Spring
2026",JLP012,J,,"J2: Japanese
日本語J2
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-354,H-355",Face to Face,"MIURA, Ayano/KOH, Tomoko",5
"10203
Spring
2026",JLP013,J,,"J3: Japanese
日本語J3
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-107,H-108",Face to Face,"KUBO, Kazumi/GOTO, Noriko/KITAGAWA, Yui/NOGUCHI, Fusae",5
"10204
Spring
2026
[change]
2026/03/23",JLP014,J,,"J4: Japanese
日本語J4
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-357,H-358",Face to Face,"SAKATA, Reiko/IMAI, Kanna/KITAGAWA, Yui/SUZUKI, Mieko",5
"10205
Spring
2026
[change]
2026/04/03",JLP015,J,,"J5: Japanese
日本語J5
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-373,H-375",Face to Face,"NISHINO, Ai/SAITO, Satomi/TERAI, Hiromi",5
"10206
Spring
2026
[change]
2026/04/03",JLP016,J,,"J6: Japanese
日本語J6
1/M,2/M,1/TU,2/TU,1/W,2/W,3/W,1/F,2/F,3/F
H-101,H-124",Face to Face,"SHIBUKAWA, Aki/MASUDA, Rika/OSAKI-WATANABE, Kumiko/YAMADA, Kyoko",5
"10207
Spring
2026
[change]
2026/03/23",JLP028,J,,"J7-A: Japanese
日本語J7-A
1/M,2/M,1/W,2/W
I-209,I-231,I-232",Face to Face,"OZAWA, Ikumi/ASHIKI, Ayako/INOUE, Shoko/OSAKI-WATANABE, Kumiko",3
"10208
Spring
2026
[change]
2026/02/06",JLP029,J,,"J7-B: Japanese
日本語J7-B
1/TU,2/TU
I-209,I-231,I-232",Face to Face,"OZAWA, Ikumi/KUWANO, Sachiko",2
"10209
Spring
2026",JLP036,J,,"Advanced Japanese: Research Writing
上級日本語：論文作成法
4/M,5/M
H-373",Face to Face,"KOH, Tomoko",1
"10210
Spring
2026",JLP071,J,,"Special Japanese Kanji 1
日本語特別教育 漢字1
4/M
I-209",Face to Face,"MIURA, Ayano",1
"10211
Spring
2026",JLP072,J,,"Special Japanese Kanji 2
日本語特別教育 漢字2
4/M
I-210",Face to Face,"MIYAMOTO, Mayu/INADA, Naoko",1
"10212
Spring
2026",JLP073,J,,"Special Japanese Kanji 3
日本語特別教育 漢字3
4/M
I-231",Face to Face,"SAKATA, Reiko/TAKEDA, Tomoko",1
"10213
Spring
2026",JLP082,J,,"Special Japanese 2
日本語特別教育 2
1/W,2/W,3/W,1/F,2/F,3/F
H-103,H-105",Face to Face,"KANAYAMA, Yasuko/MIYAMOTO, Mayu/KOMORI, Yuri",3
"10214
Spring
2026
[change]
2026/02/06",JLP083,J,,"Special Japanese 3
日本語特別教育 3
1/W,2/W,3/W,1/F,2/F,3/F
H-259,H-260",Face to Face,"TAKEDA, Tomoko/ITO, Mariko",3
"10215
Spring
2026",JLP086,J,,"Vocabulary and Kanji for Intermediate Learners of Japanese 1
中級日本語学習者のための語彙・漢字1
4/M
H-356",Face to Face,"SAITO, Satomi",1
"10216
Spring
2026",JLP087,J,,"Vocabulary and Kanji for Intermediate Learners of Japanese 2
中級日本語学習者のための語彙・漢字2
4/M
H-358",Face to Face,"KAWAUCHI, Miwa",1
"10217
Spring
2026
[change]
2026/03/26",JLP089,J,,"Gateway to Special Japanese
特別日本語教育入門
5/M
I-231,I-232",Face to Face,"KUBO, Kazumi/SHIBUKAWA, Aki",1
"10301
Spring
2026
[change]
2026/02/27",GEX001,J,,"X: Introduction to Christianity
Ｘ：キリスト教概論
3/M,3/W,3/F
H-323","(150)
Face to Face","RO, Johannes Unsok",3
"10302
Spring
2026
[change]
2026/02/27",GEX001,J,B,"X: Introduction to Christianity
Ｘ：キリスト教概論
5/TH,6/TH,7/TH","(150)
Face to Face","UEKI, Ken",3
"10303
Spring
2026",GEH002,J,,"H1: The World of Art
Ｈ１：美術の世界
3/TU,2/TH,3/TH
H-259","(130)
Face to Face","ITO, Aki",3
"10304
Spring
2026",GEH025,J,,"H1: The World of Literature (Japanese Literature)
Ｈ１：文学の世界（日本文学）
3/TU,2/TH,3/TH
H-223","(130)
Face to Face","SONOYAMA, Senri",3
"10305
Spring
2026",GEH026,J,,"H1: The World of Traditional Japanese Culture
Ｈ１：日本伝統芸能の世界
3/M,3/W,3/F
H-374","(130)
Face to Face","YASUHARA, Makoto",3
"10306
Spring
2026",GEH031,J,,"H1: The World of Philosophy
Ｈ１：哲学の世界
5/W,6/W,7/W
H-323","(130)
Face to Face","SUGAYA, Motoi",3
"10307
Spring
2026",GEH041,J,,"H2: Language Education
Ｈ２：言語教育
3/M,3/W,3/F
H-173","(130)
Face to Face","FUJII, Akiko/CHUN, Sunyoung",3
"10308
Spring
2026",GEH044,E,,"H2: The World of Sign Languages
Ｈ２：手話の世界
3/TU,2/TH,3/TH
T-270","(130)
Face to Face","QUAY, Suzanne",3
"10309
Spring
2026",GEH064,E,,"H1: Climate Justice
Ｈ１: 気候正義
*4/M,*4/TH
H-151","(130)
Face to Face","RAVENSCROFT, Claire",3
"10310
Spring
2026
[change]
2026/02/24",GES001,E,A,"S1: Economy and Economics
Ｓ１：経済と経済学
3/TU,2/TH,3/TH","(130)
Face to Face","KOO, Ja Seung",3
"10311
Spring
2026",GES001,J,,"S1: Economy and Economics
Ｓ１：経済と経済学
3/TU,2/TH,3/TH
T-328","(130)
Face to Face","KAIZOJI, Taisei/INABA, Yushi",3
"10312
Spring
2026",GES008,E,,"S1: Religion and Global Politics
Ｓ１：宗教と国際政治
3/TU,2/TH,3/TH
H-260","(130)
Face to Face","SHANI, Giorgiandrea",3
"10313
Spring
2026",GES021,J,,"S1: Invitation to Constitutional Law
Ｓ１：憲法への誘い
5/F,6/F,7/F
H-125","(130)
Face to Face","AKIYAMA, Hajime",3
"10314
Spring
2026",GES026,E,,"S1: Society and Culture
Ｓ１：社会と文化
3/TU,2/TH,3/TH
H-173","(130)
Face to Face","BROWN, Bernardo Enrique",3
"10315
Spring
2026",GES035,J,,"S1: Invitation to the East Asian History
Ｓ１：東アジア史への招き
1/TU,2/TU,1/TH
H-224","(130)
Face to Face","KIKUCHI, Hideaki",3
"10316
Spring
2026",GES039,J,,"S2: Statistical Information Literacy
Ｓ２：統計情報リテラシー
3/M,3/W,3/F
H-275","(130)
Face to Face","KANEKO, Takuya",3
"10317
Spring
2026",GES051,E,,"S2: Media and Cultural Signs
Ｓ２：メディアと記号
*4/W,*4/F
T-229","(130)
Face to Face","HONG, Seung Min",3
"10318
Spring
2026",GES057,E,,"S2: Education Projects for Global and Social Change
Ｓ２：グローバル・社会変革のための教育プロジェクト
*4/M,*4/TH
H-260","(130)
Face to Face","DAWSON, Walter P.",3
"10319
Spring
2026",GES062,J,,"S2: Humanity and Peace
Ｓ２：人間と平和
3/M,3/W,3/F
H-125","(130)
Face to Face","ARAKAKI, Osamu",3
"10320
Spring
2026",GES095,E,,"S2: A History of the World in Thirty Objects
Ｓ２：「３０のモノ」から見る世界の歴史
*4/M,*4/TH
H-102","(130)
Face to Face","SALTON, Herman",3
"10321
Spring
2026",GES096,J,,"S2: Physical and Mental Wellbeing
Ｓ２：こころとからだの健康
3/M,3/W,3/F
H-224","(130)
Face to Face","SHIMIZU, Yasuo",3
"10322
Spring
2026",GEN001,J,,"N1: Life Science (A)
Ｎ１：生命科学（Ａ）
2/M,2/W,2/F
T-171","(150)
Face to Face","HAYAMA, Ryosuke/WANG, Mu-Yun/KOSE, Hiroyuki/AU YEUNG, Wan Kin/MIZOGUCHI, Tsuyoshi",3
"10323
Spring
2026",GEN013,J,,"N1: The Chemical Basis of Nature
Ｎ１：自然の化学的基礎
3/M,3/W,3/F
T-364","(150)
Face to Face","KUBO, Kenya/TSUNODA, Makoto/KOBAYASHI, Yoshio",3
"10324
Spring
2026",GEN023,J,,"N1: Introduction to Computer Science
Ｎ１：情報科学概論
3/TU,2/TH,3/TH
T-171","(150)
Face to Face","OHTA, Keiji/TANAKA, Masayuki",3
"10325
Spring
2026",GEN024,J,,"N1: Mathematical Methods in Science
Ｎ１：数学の方法
1/TU,2/TU,1/TH
H-301","(150)
Face to Face","YAMAZAKI, Mitsuru",3
"10326
Spring
2026
[change]
2026/03/02",GEN026,J,,"N2: Ideas of Data Science
Ｎ２：データサイエンスの考え方
3/TU,2/TH,3/TH
I-106","(75)
Face to Face","DOU, Xiaoling/KANAZAWA, Yuichiro",3
"10327
Spring
2026",GEN053,J,,"N2: Philosophy of Science
Ｎ２：科学哲学
5/TU,6/TU,7/TU
H-125","(150)
Face to Face","HIRAI, Masahito",3
"10328
Spring
2026",GEN054,J,,"N2: Environmental Studies
Ｎ２：環境研究
3/M,3/W,3/F
T-328","(150)
Face to Face","NUNOSHIBA, Tatsuo",3
"10329
Spring
2026",GEN055,J,,"N2: Sustainability in the context of Biodiversity and the Global Ecosystem
Ｎ２：グローバル・エコシステムと生物学的多様性の視点から見たサステイナビリティー
5/W,6/W,7/W
H-374","(150)
Face to Face","SASAKI, Takahiro",3
"10330
Spring
2026
[change]
2026/03/26",GEL002,J,,"Liberal Arts Special Topic (A)
リベラルアーツ特別講義 （Ａ）
*4/M,*4/TH
H-173","(100)
Face to Face","IKOMA, Natsumi/ISHIO, Yoshito/YAMAZAKI, Rekishu",3
"10401
Spring
2026",HPE001,E,A,"Health Science
健康科学
5/F","(70)
Face to Face","OGAWA, Tadayuki",1
"10402
Spring
2026
[change]
2026/02/03",HPE001,J,B,"Health Science
健康科学
2/TU","(70)
Face to Face","HASEGAWA, Ken",1
"10403
Spring
2026
[change]
2026/02/03",HPE001,E,C,"Health Science
健康科学
6/F","(70)
Face to Face","OGAWA, Tadayuki",1
"10404
Spring
2026
[change]
2026/02/03",HPE001,J,D,"Health Science
健康科学
5/M","(70)
Face to Face","SATO, Kaori",1
"10405
Spring
2026
[change]
2026/02/03",HPE001,J,E,"Health Science
健康科学
3/TU","(70)
Face to Face","HASEGAWA, Ken",1
"10406
Spring
2026
[change]
2026/02/03",HPE001,J,F,"Health Science
健康科学
3/M","(70)
Face to Face","SATO, Kaori",1
"10407
Spring
2026
[change]
2026/02/03",HPE001,J,G,"Health Science
健康科学
4/M","(70)
Face to Face","SATO, Kaori",1
"10408
Spring
2026",HPE003,J,,"Physical Education
体育理論
4/F","(90)
Face to Face","HIRAKU, Shiho",1
"10409
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
5/M","(20)
Face to Face","HASEGAWA, Ken",1/3
"10410
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/M","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"10411
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/TH","(20)
Face to Face","YAMAUCHI, Hiroshi",1/3
"10412
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
4/W","(20)
Face to Face","GORAI, Asuka",1/3
"10413
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
4/W","(20)
Face to Face","SATO, Kaori",1/3
"10414
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
5/M","(20)
Face to Face","KASAI, Hiromi",1/3
"10415
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
2/F","(20)
Face to Face","HIGASHIYAMA, Masao",1/3
"10416
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
5/TU","(20)
Face to Face","HASEGAWA, Ken",1/3
"10417
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
5/TH","(20)
Face to Face","GORAI, Asuka",1/3
"10418
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
5/F","(20)
Face to Face","SATO, Kaori",1/3
"10419
Spring
2026",HPE005,,C,"Physical Education Exercise I
PE エクササイズⅠ
3/TU","(20)
Face to Face","GORAI, Asuka",1/3
